,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
10,shubham-pandey-b93545147,C Python Programming Language HTML Cascading Style Sheets CSS SQL HTML Microsoft Word Machine Learning Data Analysis Adobe Photoshop Public Speaking Adobe Illustrator Team Leadership Tableau Management Team Management Communication Core Java Flask Adobe Lightroom Negotiation Sketching                              ,"Bachelor of Technology, Computer Science KRISHNA INSTITUTE OF ENGINEERING AND TECHNOLOGY, GHAZIABAD", , ,Data Scientist Wisteli ,Data Science Intern The Sparks Foundation,Data Scientist IdeateData,Operations Manager Nishritha Foundation,Data Scientist,1
11,a-jliouat,SQL Git WordPress Machine Learning Adobe Premiere Pro Public Speaking Project Management MongoDB Deep Learning BackEnd Web Development Python Natural Language Processing NLP Statistics Data Science Data Analytics Hadoop R Critical Thinking Google Cloud Platform GCP Apache Spark DevOps Business Strategy Big Data Cloud Computing Serverless Computing Apache Kafka Cloud Administration Engineering Creative Problem Solving Storytelling Product Management NoSQL Marketing Design Frontend Development Docker REST APIs Google Sheets Neoj Cassandra Application Programming Interfaces Systmes de gestion de contenu CMS Stratgie de tarification Gestion de la marque Marketing BtoB Automatisation des processus Python langage de programmation BB Marketing Brand Management Pricing Strategy  ,Data Science ENSAE Paris,"Engineer's degree, Data Science ENSAI", ,Chief Data Scientist Merci Jack,Lead Data Scientist Société Générale,Senior Data Scientist Société Générale,Lecturer Université Paris Dauphine - PSL,Chief Data Scientist,1
12,nareshkumar16analytics,Python Programming Language Data Analytics                                                  ,"Bachelor of Technology - BTech, Electrical and Electronics Engineering Rajeev Gandhi Memorial College Of Engineering & Technology", , ,Data Scientist Tata Consultancy Services,Senior Data Engineer Larsen & Toubro Infotech Ltd (LTI),Junior Engineer Nagarjuna Constructions Company Limited, ,Data Scientist,1
13,antonyjega12,Java C SQL Machine Learning Microsoft Azure Problem Solving Programming Teamwork Project Management Deep Learning Python Data Analytics R Artificial Neural Networks Matlab OpenCV Computer Vision Artificial Intelligence AI Research TensorFlow Altium Designer Shell Scripting Amazon Web Services AWS Printed Circuit Board PCB Design Teaching Control Systems Design Microcontrollers Renewable Energy Power systems Analysis Simulink Industrial Internet of Things IIoT Digital Signal Processing Algorithm Development Xilinx PowerWorld LTSpice CGIPerl Prolog              ,BE(Hon). Electrical and Electronics + BSc. Computer Science UNSW,"Profesional Development, Data Science University of Waterloo", ,Data Scientist EngenuityAi,Machine Learning Engineer Freelance,Artificial Intelligence Engineer Vega Innovations,System Developer and Researcher  JLanka Technologies,Data Scientist,1
14,hari-babu-muga-a6721889,C MySQL HTML Microsoft Word WordPress Machine Learning Data Analysis Programming Microsoft Office Leadership Public Speaking Microsoft Excel Microsoft PowerPoint Deep Learning Python Natural Language Processing NLP ElasticSearch PowerPoint R Support Vector Machine SVM Image Processing Statistical Modeling Computer Vision Management Apache Spark TensorFlow PyTorch Photoshop Convolutional Neural Networks CNN XGBoost keras Long Shortterm Memory LSTM Audacity Logstash Kibana Elastic Stack ELK Regular Expressions Sony Vegas              ,"Dual Degree 5Y, Bachelor's in Mechanical, Master's in Manufacturing Science Indian Institute of Technology, Kharagpur","Intermediate Public Examination, MPC Narayana Junior College,Narasimha Puram,Nellore","Secondary School Certificate, High School Oxford High School,Ongole",Senior Data Scientist Foundation AI,"Machine Learning Engineer Quantiphi, Inc.",Deep Learning Challenge HackerEarth,Data Analysis Competition American Express,Senior Data Scientist,1
15,adnene-tekaya,Java C SQL Linux Machine Learning Python Hadoop Matlab Visual Studio Spark                                          ,"Diplôme d'ingénieur, Data Science Télécom Paris","Diplôme d'ingénieur, Data science and engineering EURECOM","Engineer's degree, Telecommunications SUP'COM",Applied Data Scientist ManoMano,ML Engineer CodeWorks,Data Science Consultant Legrand,Data Science Consultant Pernod Ricard,Applied Data Scientist,1
16,hariomyadav,Java C Linux Machine Learning Software Development C Deep Learning Python Algorithms Image Processing Matlab Computer Vision Team Management Embedded Systems NLP Verilog Tensorflow Artificial Intelligenec                                  ,"Bachelor of Technology (B.Tech.) Indian Institute of Technology, Patna","Intermediate/+2 S. V. M. Kanpur, U.P.","High School S. V. M. Deoria, U.P.",Data Scientist 2 Microsoft,Senior Software Engineer Cybernetyx,Software Engineer | Malaysia Finisar Corporation (NASDAQ: FNSR),"Summer Internship | Machine Learning | HyperSpectral Image Processing University of Houston, Texas, USA",Data Scientist 2,1
17,roostamovic,Python Programming Language SQL Machine Learning Data Analysis Deep Learning Statistics Data Visualization Data Science OpenCV Mathematics PyTorch Keras Matplotlib Pandas Software NumPy ScikitLearn Seaborn Linear Algebra Plotly                                 ,"Bachelor of Science - BS, Econometrics Mirzo Ulugbek Nomidagi Uzbekiston Milliy Universiteti", , ,Data Scientist OctobotSquad, , , ,Data Scientist,1
18,manas234das,Java Python Programming Language SQL Web Development Linux Machine Learning Data Analysis C Programming Language Leadership Public Speaking C Deep Learning Data Mining Natural Language Processing NLP Data Science Predictive Modeling Artificial Neural Networks Image Processing Statistical Data Analysis Computer Vision TensorFlow Ubuntu PyTorch Keras DevOps Amazon Web Services AWS ScikitLearn AWS SageMaker MLOps Feature Engineering NLTK Amazon S Reinforcement Learning GitHub Probabilistic Models Linux Server Amazon Athena Applied Probability docker Amazon Relational Database Service RDS Amazon Dynamodb Git BASH Machine Translation Amazon ECS        ,"Bachelor of Technology - B.Tech, Computer Science and Engineering OP Jindal University", , ,Data Scientist TruKKer,Data Scientist Rubikon Labs,Teaching Intern OP Jindal University,Research Intern Siemens Technology India,Data Scientist,1
19,dulitha91,Java C JavaScript PHP MySQL SQL Linux Programming CSS C Python Data Structures Algorithms Github NetBeans C OOP Eclipse Visual Studio JavaSE Java Enterprise Edition Core Java Perl JavaFX Design Patterns IntelliJ IDEA UML UML Tools Servlets JSP Facebook API OAuth SQLite Scribe Verilog VHDL Bash GNU Make Qt Qt Creator Swimmer           ,"Master of Science - MS, Computer Science - Data Science & Machine Learning Specialization University of Moratuwa","Bachelor of Science - BS, Computer Engineering University of Moratuwa", Mahanama College-Colombo 3,Principal Data Scientist ChiefDX Pte Ltd,Senior Research And Development Engineer Synopsys Inc,Research And Development Engineer Synopsys Inc,Research And Development Intern Atrenta,Principal Data Scientist,1
20,sebastian-blum-7a7246184,Java SQL Git Machine Learning Microsoft Azure Deep Learning Python Scrum Data Science R Tableau Matlab Research Extract Transform Load ETL Amazon Web Services AWS LaTeX Kubernetes Docker JIRA Visual Analytics Kubeflow User Experience Cognitive Science Knstliche Intelligenz MenschComputerInteraktion Statistische Datenanalyse Datenvisualisierung Datenanalyse HumanFactorsResearch                     ,"Master of Science - M.Sc., Human Factors Technische Universität Berlin","Bachelor of Science - B.Sc., Cognitive Science Universität Osnabrück","Bachelor of Science - B.Sc., Geography The University of Göttingen",Data Scientist Alexander Thamm GmbH,Trainee Data Science Alexander Thamm GmbH,Master Thesis Student Airbus,Scientific Consultant HFC Human-Factors-Consult GmbH,Data Scientist,1
21,shyambhu-mukherjee,JavaScript Python Programming Language SQL Machine Learning Data Analysis ObjectOriented Programming OOP Reactjs Microsoft Excel Deep Learning Data Mining Natural Language Processing NLP Statistics Data Visualization Data Science Data Analytics Predictive Modeling Logistic Regression Linear Regression Decision Trees Statistical Modeling Artificial Intelligence AI Research Analytics R Programming Language Predictive Analytics TensorFlow Keras Amazon Web Services AWS Creative Problem Solving JSON Microservices Interpersonal Communication XGBoost Product Development Human Resources HR Search Engine Optimization SEO Random Forest Design Thinking google ads google search ads Process Implementation Media Psychology          ,"B.Math, Mathematics and Statistics Indian Statistical Institute,Bangalore","Tortoise founders fellowship program, Business Administration, Management and Operations Tortoise", ,"Data Scientist iQuanti, Inc.",Blogger Machine learning and statistics with python,"associate data scientist iQuanti, Inc.",data analyst(intern) IdeaBoard,Data Scientist,1
22,saney-srikanth,Python Programming Language Linux Microsoft Word Machine Learning Microsoft Office Leadership Microsoft Excel Microsoft PowerPoint Deep Learning Natural Language Processing NLP Data Science Statistical Data Analysis Statistical Modeling Computer Vision Research Machine Learning Algorithms Exploratory Data Analysis Bayesian statistics PySpark Matplotlib Data Scraping ScikitLearn Neural Networks Convolutional Neural Networks CNN Deep Neural Networks DNN Pattern Recognition Reinforcement Learning Chatbot Development Seaborn Recommender Systems Cassandra pandas Automation R LANGUAGE Cyber Threat Intelligence CTI TIP graql Grakn              ,"Bachelor of Technology - BTech, Electrical and Electronics Engineering Malla Reddy Engineering College", , ,Staff Data Scientist Astutes Sci-tech Group,AI/ML Engineer RHYM Technologies LLP,Machine Learning Engineer SurensInffotek, ,Staff Data Scientist,1
23,vigneshravichandran1,Java Nodejs SQL Big Data Analytics Machine Learning C MongoDB Deep Learning Data Science Data Analytics R Business Intelligence BI Big Data Cloud Computing Data Modeling Android Development Requirements Analysis Quantum Computing Business Intelligence QlikView Business Intelligence Tools Oracle Blockchain Cognos Quantum Mechanics Cognos ReportNet Network Economics Big Data Algorithms Techno Economics of Networks Keystone JS Geographic Information Science                     ,"Master of Technology (MTech), Data Science International Institute of Information Technology, Bangalore","Bachelor of Engineering (B.E.), Computer Science and Engineering Kumaraguru College of Technology","10th, 12th, HSC AVRmV Matriculation Higher Secondary School, Ambsamudram",Lead Data Scientist PayPal,Data Scientist Scienaptic AI,Senior Data Analyst Oracle India Pvt. Ltd,Data Scientist Scienaptic AI,Lead Data Scientist,1
24,omer-elgrably-41a055100,Java C JavaScript Python Programming Language HTML Nodejs SQL Web Development Git Linux Machine Learning Software Development Microsoft Office Leadership Public Speaking C ObjectOriented Programming OOP Project Management Microsoft Excel Team Leadership R Software Project Management Artificial Intelligence AI Management Apache Spark Keras Amazon Web Services AWS Product Management NoSQL Information Technology Interpersonal Communication Organization Skills Jupyter GitHub Program Management Lecturing google colab Integration Software Engineers Software Development Life Cycle Agile methodology Leadership and management software CI CD         ,"Master of Science - MS, Data Science and ML Reichman University (IDC Herzliya)","Bachelor's degree, Computer Software Engineering Afeka Tel Aviv Academic College of Engineering", ,Data Scientist Israel Ministry of Defence ,Head of Software Development Teams Israel Ministry of Defense,Project Manager Israel Ministry of Defense,Head Of Operations Israel Ministry of Defense,Data Scientist,1
25,anish-sanka-12510a65,Java SQL Machine Learning Public Speaking Deep Learning Python Data Mining Natural Language Processing NLP Data Visualization Data Analytics Hadoop R Artificial Neural Networks Computer Vision Artificial Intelligence AI PySpark TensorFlow PyTorch Keras Docker Products Big Data Amazon Web Services AWS NoSQL Neural Networks NLP Flask Neoj Jenkins Medical Imaging Chatbots Generative Adversarial Networks GANs                     ,"B.E (Hons), Computer Science Birla Institute of Technology and Science, Pilani", , ,Senior Data Scientist HDFC Life,Data Scientist HDFC Life,Data Scientist GEP Worldwide,Software Engineer Satyakala Thermal Power Projects,Senior Data Scientist,1
26,neildias,Java JavaScript Python Programming Language SQL Machine Learning Data Analysis Software Development C Programming Language Programming Leadership ObjectOriented Programming OOP Data Structures Algorithms Data Science Predictive Modeling Team Management Big Data AWS SageMaker Frontend Development R Programming Julia Programming Language Human Resources Ruby Regular Expressions Parallel Computing                           ,"Master of Management Studies, Business Administration and Management, General Mumbai University","Bachelor of Science (B.Sc.), Chemistry Wilson College", ,Data Scientist Azentio Software,Data Scientist ND ML Consulting ,Sr. Team Leader ICAN BPO Pvt. Ltd., ,Data Scientist,1
27,artem-ryzhikov-2b6308103,Java SQL Machine Learning Data Analysis Scala Computer Science Python Data Structures Algorithms ElasticSearch Hadoop Amazon Web Services AWS Spark NoSQL NLTK PostgreSQL XGBoost Image recognition                                  ,"Master's degree, Computer Science Yandex School of Data Analysis","Bachelor's degree, Physics Novosibirsk State University (NSU)",Physics and Math NSU's Special Education-Scientific School (Novosibirsk Physics-Mathematic School),Data Scientist/Research Fellow/Lecturer Высшая Школа Экономики,"Senior ML Engineer Teleport Future Technologies, Inc.","Data Scientist, Scala developer Double Data","Data Scientist, Scala developer Surfingbird",Data Scientist/Research Fellow/Lecturer,1
28,m-simsek,Python Programming Language MySQL SQL Git Big Data Analytics Machine Learning Data Analysis Microsoft Office MongoDB Microsoft Excel Deep Learning Python Algorithms Scrum Natural Language Processing NLP Statistics Data Visualization Data Science Data Analytics R Tableau Analytical Skills Microsoft Power BI Google Cloud Platform GCP Machine Learning Algorithms Apache Spark TensorFlow PyTorch Keras Big Data Amazon Web Services AWS NumPy ScikitLearn NoSQL Data Cleaning Neural Networks Convolutional Neural Networks CNN Amazon EC Amazon S Spreadsheets Agile Project Management Jupyter Google Analytics Google Sheets Neoj AB Testing TransactSQL TSQL Agile Kanban Data Analyzing and Visualizing  ,"Master of Business Administration (M.B.A.), System Acquisition Management Naval Postgraduate School","Bachelor of Science (BS), System Engineering Turkish National Defense University", ,Data Scientist Upwork,Data Science/H2O Instructor Global Risk Compliance (Pvt.) Ltd.,Data Scientist Prospect 33,Independent Contractor Appen,Data Scientist,1
29,rajesh-kumar-28ba0713a,C Python Programming Language Git Microsoft Word Machine Learning Data Analysis Microsoft Azure Microsoft Office C Microsoft Excel Microsoft PowerPoint Statistics Data Analytics R Analytical Skills Microsoft Power BI Machine Learning Algorithms RStudio Predictive Analytics Docker Products Communication Containerization MLOps Microsoft Azure Machine Learning Azure Data Factory SQL Azure Excel Dashboards Jupyter Mathematical Analysis Azure Databricks Segmentation Azure DevOps Azure Cosmos DB Logical Approach Azure Key Vault CI Analytical Reasoning               ,"Bachelor of Technology, Chemical Engineering National Institute of Technology Durgapur","High School, Science stream Jawahar Navodaya Vidyalaya, Panchawati.","Machine Learning Specialization by University of Washington, Data Science Coursera",Senior Data Scientist ServiceNow,Data Science Associate Consultant ZS,Decision Analytics Associate ZS, ,Senior Data Scientist,1
30,thilina-kariyawasam,Java C Python Programming Language SQL Linux Machine Learning Data Analysis Software Development Programming Microsoft Office Leadership C Microsoft Excel Algorithms Hadoop Research Apache Spark Oracle SQL Developer Data Modeling Database Development Data Warehousing Software Engineering Electrical Engineering Networking OOP Eclipse Pandas Software ScikitLearn Photoshop Embedded Systems Oracle Database pandas numpy Design Thinking Power Generation Power Transmission Power Protection Baseball Cricket IT Service Management oracle sql oracle plsql Investment Strategies Personal Finance Internet Technologies       ,"Bachelor of Science (BSc), Electrical  and Information Engineering University of Ruhuna",Physical Sciences Richmond College,"Data Scientists NanoDegree, Data Science Udacity",Data Science Engineer Sri Lanka Telecom,Software Engineer Zebra Technologies,Avionics Engineering Intern SriLankan Airlines Official,Engineering Intern Ceylon Electricity Board (CEB),Data Science Engineer,1
31,vasu-lakkaraju,Java C MySQL SQL Git Linux Machine Learning Software Development Databases Programming Software Development Life Cycle SDLC Microsoft Excel Deep Learning Python Statistics Predictive Modeling R Tableau Management Team Management Microsoft SQL Server Business Analysis Apache Spark Big Data Extract Transform Load ETL Agile Methodologies Shell Scripting Amazon Web Services AWS Data Warehousing Artificial Intelligence Requirements Analysis Neural Networks Business Intelligence Oracle Database Regression Models Text Mining Oracle PLSQL JIRA Unix Testing Informatica MS SQL Server Red Hat Linux Performance Tuning Informatica x Oracle g MS Access Tensor flow Block chain : 2,"Bachelor's Degree, Electronics and Communication Engineering Jawaharlal Nehru Technological University, Kakinada","Intermediate, Maths,Physics,Chemistry Government Junior College","High School ZPH School J.Naidupalem, Visakhapatnam",Scientist 3 Data Science Western Digital,Scientist 2 Data Science Western Digital,Data Scientist Red Hat,Data Scientist Cognizant,Scientist 3 Data Science,1
32,sazee-s,Java Python Programming Language SQL Machine Learning Data Analysis Scala Leadership Project Management Microsoft Excel Data Visualization Data Science Data Analytics R Software Testing Research Microsoft Power BI Business Analysis Machine Learning Algorithms R Programming Language Agile Methodologies Artificial Intelligence Requirements Analysis Requirements Gathering Teaching Testing User Acceptance Testing Data Management net Unit Testing SoapUI Test Management QA Engineering                    ,"Master of Data Science, Data Science La Trobe University","Master's degree, Computer Engineering Punjabi University","Bachelor of Technology - BTech, Computer Engineering Punjab Technical University",Data Science Intern Melbourne Innovation Centre,Tutor Preply,Business Analyst OATI,Associate Business Analyst OATI,Data Science Intern,1
33,chathurangi-shyalika-1b89229b,Java C JavaScript PHP SQL HTML Data Engineering Machine Learning Data Analysis Software Development Microsoft Azure Programming Microsoft Office Leadership C ObjectOriented Programming OOP Project Management Reactjs MongoDB Python Data Science Data Analytics Research Apache Spark Amazon Web Services AWS Apache Kafka C JavaSE Ionic Framework Java Enterprise Edition Prolog ASPNET Hibernate Maven Azure Data Lake SQLite JavaServer Pages JSP Spring MVC DBMS Struts Blockchain Human Resources Angular MAVEN azure Azure ML XACML Web Services Description Language WSDL Pagemaker Azure AI  ,Diploma in Human Resource Management National Institute of Business Management (NIBM),Internet & E-commerce Programme Amazon Lanka(Pvt) Ltd,"Science Stream Devi Balika Vidyalaya, Colombo",Engineer-Big Data and Data Science Mobitel (Pvt) Ltd,Software Engineer- Artificial Intelligence SimCentric Technologies,Software Engineering Intern WSO2,Web Content Developer - Research & Development Center General Sir John Kotelawala Defence University,Engineer-Big Data and Data Science,1
34,upasana-ghosh-b68916169,Java JavaScript Git Linux Microsoft Azure Microsoft Office Microsoft SQL Server Shell Scripting JSON Bash GitHub Unix Jenkins Azure DevOps Azure Service Fabric Terraform Powershell Azure iaas Azure Infrastructure as a Service IaaS Azure Automation Git BASH azure kubernetes service application gateway azure paas                            ,"Bachelor of Technology - BTech, Computer Engineering West Bengal University of Technology, Kolkata","Higher Secondary, Computer Science West Bengal State University, Kolkata","Secondary, Computer Science West Bengal State University, Kolkata",Data Science Specialist IBM,DevOps Specialist IBM,DevOps Engineer L&T Technology Services Limited,Associate Software Engineer Accenture,Data Science Specialist,1
35,ritesh-kumar-6909bab0,C JavaScript Python Programming Language Nodejs Machine Learning C Programming Language C MongoDB Deep Learning Natural Language Processing NLP Data Science Artificial Neural Networks Matlab Computer Vision Artificial Intelligence AI TensorFlow Keras Shell Scripting NoSQL                                 ,"Master’s Degree, Computer Science International Institute of Information Technology","Bachelor’s Degree, Computer Science Mahatma Gandhi Institute of Technology", ,Advisor Data Science Talenticate,Senior NLP Engineer ConcertAI,Advisor Data Science Vigyaa,Senior NLP Engineer Animaker Inc.,Advisor Data Science,1
36,nisalm,Java Python Programming Language MySQL SQL Data Engineering Big Data Analytics Data Analysis Microsoft Azure Programming ObjectOriented Programming OOP Data Structures Data Mining Data Science Data Analytics R Research Microsoft SQL Server Power BI Data Warehousing C Web Services Business Intelligence SSRS SQL Server Reporting Services SSRS ASPNET Azure Data Factory Azure Data Lake Design Patterns SQL Server Integration Services SSIS Azure Databricks ETL Data Architecture TransactSQL TSQL DAX MDX LINQ SSAS SSIS Integration Data Modelling Tabular Mechine Learning Dimension Modeling         ,Data Scientist Udacity,Data Mining University of Moratuwa,"BSc, Information Technology SLIIT",Architect - Big Data/ Data Science  Zone24x7,Business Intelligence Consultant Fortude,Tech Lead - Business Intelligence/Data Analytics Ayra Analytics,Associate DW/BI Consultant - Specialist Virtusa,Architect - Big Data/ Data Science ,1
37,md-khalid-siddique,Python Programming Language MySQL Machine Learning Data Analysis Microsoft Excel Github Statistics Data Visualization Data Science Probability Tableau Presentation Skills SolidWorks Communication Spreadsheets Database Management System DBMS Career Management Office Pivot Tables Interview Preparation Kaggle Data Entry Solid Edge Differential calculas Regression algorithm Classification algorithm                          ,"Bachelor of Engineering - BE, Mechanical Engineering Ghousia College of Engineering, RAMANAGARAM","PCMC's (Physics, Chemistry, Mathematics, Computer Science) MH group of institutions",1 to 10th St Anne's High School,Data Science mentor Board Infinity,Data Science learner Board Infinity,Transmission and Brakes  Worked as transmission head at Project Aries, ,Data Science mentor,1
38,ivantha,Java C JavaScript MySQL Machine Learning Leadership C Python Algorithms Image Processing Computer Vision Artificial Intelligence AI Research TensorFlow Reinforcement Learning Jupyter Robotics                                   ,"Bachelor's degree, Computer Science University of Colombo School of Computing",Physical Sciences Maliyadeva College, ,Data Science Engineer WSO2,Software Engineer WSO2,Software Developer Language Matter,President IEEE Student Branch of University of Colombo School of Computing,Data Science Engineer,1
39,data-box-science,SQL Git Linux Python Tableau Visual Basic MLOps Flask Docker Microservices SQLAlchemy Hypothesis Testing Apache Airflow SAP Gestin de proyectos Ingls Liderazgo de equipos Natural language processing Anlisis de datos FastAPI Ciencia de datos Process automation Process Design Robotic Process Automation Blueprism UIPath Gitflow Bases de datos                        ,"Industrial Engineer, Engineering Universidad Nacional de Colombia", , ,SSr. Data Science Rappi,Jr. Data Science Rappi,Staff II EY,Staff I EY,SSr. Data Science,1
