,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
10,gobiga-rajalingam,Java C JavaScript Python Programming Language MySQL Cascading Style Sheets CSS HTML Data Engineering Machine Learning Data Analysis Graphic Design Programming Microsoft Office Adobe Premiere Pro Teamwork Leadership Public Speaking C ObjectOriented Programming OOP Adobe Illustrator Data Structures Algorithms Software Engineering Android ASPNET c Documentation Technical Writing Design Thinking D Modeling Blender Content Management UIUX Digital Art Announcing                 ,"Bachelor of Science in ICT, Information Technology Rajarata University of Sri Lanka","Advanced and Ordinary level studies, Maths stream with Combined Mathematics, Physics and Chemistry T/Sri Shanmuga Hindu Ladies' College", ,Associate Software Engineer - Data Engineering Wiley Sri Lanka,Data Engineering Intern Wiley Sri Lanka,Awards & Recognitions Subcommittee Lead (SAC) IEEE Sri Lanka Section,Operations Lead PayMedia,Associate Software Engineer - Data Engineering,1
11,nimoshiga-sukumaran-0625741a1,Python Programming Language SQL Hadoop Apache Spark Extract Transform Load ETL Amazon Web Services AWS Snowflake                                           ,"Master of Technology - MTech, Computer Software Engineering BITS Pilani Work Integrated Learning Programmes","Bachelor's degree, Computer Science Seethalakshmi Ramaswami College, Tiruchirappalli - 620 002.", ,Senior Engineer - Data Engineering and Analytics Altimetrik,Software Engineer Aspire Systems, , ,Senior Engineer - Data Engineering and Analytics,1
12,minurapunchihewa,Java JavaScript Python Programming Language MySQL HTML Cascading Style Sheets CSS Nodejs SQL Data Engineering Machine Learning Data Analysis Microsoft Azure Microsoft Office Teamwork Leadership Public Speaking C ObjectOriented Programming OOP MongoDB Microsoft Excel Deep Learning Expressjs Team Leadership Natural Language Processing NLP Data Visualization Data Science Data Analytics Hadoop Statistical Data Analysis OpenCV Computer Vision Artificial Intelligence AI Microsoft Power BI Microsoft SQL Server Business Intelligence BI PySpark TensorFlow Time Management Docker Products Amazon Web Services AWS Communication C Neural Networks Convolutional Neural Networks CNN SQL Server Integration Services SSIS Microsoft Power Apps Microsoft Power Automate Apache Airflow Embedded JavaScript EJS Graph Databases  ,Physical Sciences Royal College Colombo,"BSc. Honors in Management and Information Technology, Computer/Information Technology Administration and Management University of Kelaniya Sri Lanka","BSc. in Applied Accounting, Accounting and Finance Institute of Chartered Accountants of Sri Lanka",Data Engineer BlackSwan Technologies,External Research Contractor Massey University,Consultant - Projects MAS Holdings,Intern - Projects MAS Holdings,Data Engineer,1
13,shelani-desilva,JavaScript Python Programming Language PHP HTML Cascading Style Sheets CSS SQL Machine Learning Scala Microsoft Azure C Programming Language Leadership C MongoDB Data Visualization Microsoft Power BI Mathematics Time Management Cloud Computing Data Modeling Google Data Studio Linear Algebra Business Analytics React Google BigQuery Algebra Node DAX                         ,B.Sc. in Computer Science (Second Lower) University of Colombo School of Computing,Physical Sciences Holy Family Convent - Kalutara, ,Associate Data Engineer Axiata Digital Labs,Data Engineer - Intern Axiata Digital Labs, , ,Associate Data Engineer,1
14,oshada-jayasinghe-575572114,Python Programming Language SQL Machine Learning Microsoft Office Teamwork Leadership C Deep Learning Algorithms Data Science Matlab OpenCV Computer Vision Mathematics TensorFlow PyTorch Physics Embedded Systems Verilog Robotics Electronics Robot Operating System ROS                              ,"BSc Engineering (Hons), Electronic and Telecommunication Engineering University of Moratuwa", Royal College Colombo, The Chartered Institute of Management Accountants,Data Engineer Axiata Digital Labs,Chairman IEEE Industrial Electronics Society Student Branch Chapter - University of Moratuwa,Student Researcher CSIRO, ,Data Engineer,1
15,sameeradatabee,SQL Machine Learning Data Mining Data Visualization Tableau Statistical Data Analysis Microsoft Power BI Microsoft SQL Server Apache Spark Business Intelligence BI Oracle SQL Developer SQL Server Reporting Services SSRS Microsoft Azure Machine Learning Azure Data Factory Oracle Database SQL Server Integration Services SSIS SQL Server Analysis Services SSAS PLSQL Neoj DAX MDX Azure PaaS                              ,BSc Special honours Degree / Diploma SLIIT,Bachelor's Degree / Diploma University of Colombo,"Advanced Level, Mathematics Vidyartha College, Kandy.",Data Engineer Sysco LABS Sri Lanka,Engineer (BI / Analytics) LOLC Technologies Limited,Associate Engineer (BI /Analytics) Virtusa,Trainee Engineer (BI / Analytics ) Virtusa,Data Engineer,1
16,jithmi-ranatunga-6a58b0193,Python Programming Language Git Big Data Analytics Machine Learning Data Analysis Microsoft Azure Teamwork Deep Learning Data Mining Data Visualization Data Science Predictive Modeling Hadoop R Tableau Decision Trees Time Series Analysis Statistical Modeling Artificial Intelligence AI Microsoft Power BI Mathematics IBM SPSS Apache Spark PySpark Predictive Analytics DevOps Apache Big Data Extract Transform Load ETL Data Modeling Database Administration Agile Methodologies Amazon Web Services AWS Apache Kafka Hadoop Administration Data Warehousing C Matplotlib Pandas Software RESTful architecture Microsoft Azure Machine Learning Flask Oracle Database Jira NodeRED Jenkins Design Thinking Data Intelligence  ,"Bachelor of Science(Hons), Data Science SLIIT","Bachelor of Science - BS, Statistics and Computer Science University of Kelaniya Sri Lanka", ,Data Engineer Axiata Digital Labs,Executive - Business Analytics(Brandix Analytics CoE) Brandix,Intern Application Engineer  Pearson Lanka, ,Data Engineer,1
17,thusitha-wijesooriya-189153147,Data Engineering Big Data Analytics Leadership Data Analytics Research Teaching                                              ,"Advance certificate course in English language, English Language and Literature/Letters National Institute of Business Management",GCE AL Ananda college Colombo 10,GCE OL Asoka Collage Colombo 10,Data Engineer Arimac,Associate Consultant in Data Engineering Altria Consulting (Pvt) Ltd,Trainee Associate Consultant in Data Engineering Altria Consulting (Pvt) Ltd,Volunteer AIESEC Vietnam,Data Engineer,1
18,nimshi-ashera-fernando-259b06159,Java JavaScript Python Programming Language MySQL Cascading Style Sheets CSS XML Git Linux HTML Scala C Programming Language Microsoft Office Teamwork C Microsoft Excel Microsoft PowerPoint Github Team Leadership Statistics Hadoop R Microsoft Power BI Microsoft SQL Server Apache Spark Extract Transform Load ETL Amazon Web Services AWS Data Warehousing Microsoft Azure Machine Learning Android Studio Oracle Database Google Analytics SQL Server Integration Services SSIS SQL Server Analysis Services SSAS AutoCAD Oracle c Apache NiFi              ,"BSc (Hons) in Information Technology  , Specializing in Data Science SLIIT",GCE (A/L) Physical Sciences Sri Sumangala Girls School Panadura,GCE (O/L) Holy Family Convent Kalutara,Associate Data Engineer Sri lankan Airlines- USA,Big data developer  Digital Micro Services, , ,Associate Data Engineer,1
19,sandamalee-pathirana-513093124,Java JavaScript PHP MySQL HTML Cascading Style Sheets CSS AngularJS Bootstrap SQL HTML Microsoft Word Microsoft Office Teamwork Leadership C Reactjs Flutter Microsoft Excel Customer Service Team Leadership Management C jQuery NET Framework ASPNET Reduxjs                          ,"BSc Hons (Computer Science), Computer Science University of Jaffna"," Central College,Anuradhapura", ,Data Engineer BlackSwan Technologies,Software Developer Upwork,Software Developer Fiverr,Software Engineering Trainee Airport & Aviation Services Sri Lanka,Data Engineer,1
20,thilina-lokuge,Python Programming Language SQL Machine Learning Leadership ObjectOriented Programming OOP Computer Science Data Mining Statistics Data Science R Tableau Statistical Modeling SPSS Artificial Intelligence AI Microsoft Power BI Machine Learning Algorithms PySpark SAS Programming Neural Networks                                 ,"Bachelor of Science (Special) Statistics, Statistics University of Sri Jayewardenepura", , ,Data Engineer Axiata Digital Labs,Data Analyst VizuaMatix,Statistical Programmer and Statistician Clindata,Internship Lanka Market Research Bureau (Pvt) Ltd,Data Engineer,1
21,sakitha-senarathne,                                                   ,"Bachelor of Science - BS, Industrial Statistics and Financial Mathematics University of Colombo", DS Senanayake College, ,Data Engineer N-Able Private Limited,BI / ML Developer Insharp Technologies (Private)Limited,MIS Executive airtel, ,Data Engineer,1
22,sahan-hemachandra-2a3801164,Programming Microsoft Office C Python Algorithms Image Processing Matlab OpenCV Computer Vision Mathematics TensorFlow Keras Altium Docker Products Cloud Development LaTeX Flask MPLAB Robotics Circuit Design Violin programming fundamentals                              ,"B.Sc. Hons. Eng., Electronic and Telecommunication Engineering University of Moratuwa",Physical Sciences Nalanda College Colombo, ,Data Engineer Axiata Digital Labs,Treasurer IEEE Industrial Electronics Society Student Branch Chapter - University of Moratuwa,Trainee Associate Electronic Engineer Zone24x7,Visiting Instructor University of Moratuwa,Data Engineer,1
23,sinali-karunarathne-0a6a82152,Java Python Programming Language Data Analysis Microsoft Office Teamwork Leadership Computer Science Microsoft PowerPoint Arduino Statistics R Matlab Social Media c                                      ,B.Sc (Special) Computer Science Wayamba University of Sri Lanka," Pushpadana Girls' college , Kandy"," Swarnamali Girls’ Collage, Kandy",Data Engineer Axiata Digital Labs,Associate Consultant - Data Engineering Altria Consulting (Pvt) Ltd,Trainee Associate Consultant - Data Engineering Altria Consulting (Pvt) Ltd,Secretary - Student Branch Wayamba University of Sri Lanka IEEE,Data Engineer,1
24,chulendra-wibhavashakthi,Java C JavaScript Python Programming Language Cascading Style Sheets CSS Nodejs SQL HTML Microsoft Office Leadership Project Management Arduino Team Leadership Matlab OpenCV Management Presentation Skills TensorFlow Database Administration Database Development Engineering Communication C ScikitLearn Telecommunications Verilog Database Design Raspberry Pi Microchip PIC Robotics Electronics GNU Octave Proteus CUDA Assembly Language Self Learning x Assembly MPI Atmel AVR PIC Eagle PCB Interpersonal Skills Nvidia Jetson TX         ,"National Certificate of English, English Language and Literature/Letters Hardy Advanced Technological Institute","GCE A/L, Physical Sciences D.S. Senanayake National School","Grade 5 Scholarship Examination, Primary Education Kavanthissa Maha Vidyalaya",Data Engineer Axiata Digital Labs,Research And Development Engineer Wavenet,Internship Trainee National Engineering Research and Development Centre (NERDC),Internship Trainee ZTE Lanka (PVT) Ltd,Data Engineer,1
25,gayashan-kirindage-71b39316a,Java JavaScript Python Programming Language MySQL Nodejs SQL HTML Data Engineering Machine Learning Data Analysis Data Mining Natural Language Processing NLP Data Science Pycharm Microsoft Power BI Amazon Web Services AWS Data Warehousing C SQL Server Reporting Services SSRS Microsoft Azure Machine Learning Android Studio Text Mining Jupyter Google Analytics SQL Server Integration Services SSIS Swagger Jira Google Data Studio NodeRED Topic Modeling Google Sheets SQL Server Analysis Services SSAS                    ,"Bachelor's degree in Information Technology, Specialized in Data Science SLIIT", Rahula College, ,Data Engineer Just In Time Group,Data Scientist/Analyst LankaPropertyWeb,Data Scientist Xeptagon,Data Science Sampath Bank,Data Engineer,1
26,isuru-vindula-362624140,Java JavaScript Python Programming Language PHP AngularJS HTML Data Engineering Data Analysis Problem Solving C Programming Language Microsoft Office Teamwork Leadership Public Speaking C Computer Science Reactjs Microsoft Excel Firebase Hadoop Tableau Presentation Skills Microsoft Power BI Oracle SQL Developer Data Modeling Amazon Web Services AWS Apache Kafka NoSQL RESTful architecture Docker PostgreSQL Pandas PLSQL PhpMyAdmin Robot Operating System ROS DAX Apache NiFi Interpersonal Skills Arduino IDE Cloud Firestore javascript Tableau Online Employee Engagement Thought Leadership Gazebos Punctuation Learn New Software Quickly Lifelong Learning    ,Mathematics Nalanda College Colombo,"Business Administration, Management and Operations Wisdom Business Academy","Certificate Level, Computer Science NIBM Institute",Associate Data Engineer Axiata Digital Labs,Data Analyst Dialog Axiata PLC,Member IEEE Computer Society Student Branch Chapter of UCSC, ,Associate Data Engineer,1
27,waruni-palangoda-471592192,Java Python Programming Language MySQL SQL Data Mining Programming Languages R Data Science Hadoop Analytics Business Intelligence BI Oracle Database Database Management System DBMS                                       ,"BSc. (Hons) in Information Technology , Specializing Data Science SLIIT","BSc (Hons) in Information Technology Specializing Data Science , Data Science SLIIT", ,Associate Data Engineer Octopus BI - Sri Lanka,Data Science Intern iLabs, , ,Associate Data Engineer,1
28,dulshan,Java Python Programming Language PHP MySQL HTML Web Development Git Linux Scala Microsoft Office Adobe Premiere Pro Data Structures Hadoop Hive Apache Pig Google Cloud Platform GCP Apache Spark Extract Transform Load ETL Shell Scripting Amazon Web Services AWS Web Scraping Amazon S Amazon Athena Amazon Redshift Gradle Scalding BigTable Play Framework AWS Glue Amazon QuickSight                    ,"Bachelor of Engineering - BE (Hons), Software Engineering University of Westminster",Computer Software Engineering Informatics Institute of Technology, Lyceum International School Nugegoda,Data Engineer Circles.Life,Trainee Associate Software Engineer (Data Engineering) Zone24x7, , ,Data Engineer,1
29,yohan-senanayake-b7b001160,Java JavaScript Python Programming Language PHP MySQL HTML Cascading Style Sheets CSS Bootstrap SQL Machine Learning Data Analysis Tableau Amazon Web Services AWS Data Warehousing SQL Server Reporting Services SSRS Microsoft Azure Machine Learning JavaFX Servlets JavaServer Pages JSP Google Analytics SQL Server Integration Services SSIS NodeRED Snowflake Djs User Experience UX Tableau prep apache lucene Google chart Wso streaming process                       ,"Bachelor of  Science - BSc, Information Technology specialization in Data Science SLIIT", , ,Data Engineer Wiley,Data Analyst Nations Trust Bank  FriMi, , ,Data Engineer,1
30,lishara,Java PHP MySQL Git HTML Databases ObjectOriented Programming OOP MongoDB Python Data Mining Data Visualization Apache Spark Big Data Apache Kafka Android Development NoSQL Kubernetes Docker Text Mining Cassandra Apache Flume ksql                              ,"Bachelor's degree, Computing & Information Systems Wayamba University of Sri Lanka","Bachelor of Software Engineering , Computer Engineering Open University of Sri Lanka", ,Senior Data Engineer Sysco LABS Sri Lanka,Software Engineer - Data Wavenet,Internship Wavenet, ,Senior Data Engineer,1
31,lochanie-bandara-4a646567,Java Python Programming Language XML SQL MongoDB Scrum Unified Modeling Language UML Statistics Data Science R Microsoft SQL Server Apache Spark Agile Methodologies C Eclipse Visual Studio Web Services Software Quality Assurance NET Framework UML NET Test Automation Testing ArcGIS Research and Development RD Test Planning Leadership skills                         ,"Master's degree, Business Statistics University of Moratuwa","Bachelor's degree, Agricultural Biotechnology Rajarata University of Sri Lanka","Bachelor's degree, Information Technology SLIIT",Data Engineer KBSL Information Technologies Limited,Research Assistant and Visiting Demonstrator University of Peradeniya,Senior Operations Analyst SYNERGEN Health LLC,Operations Analyst SYNERGEN Health LLC,Data Engineer,1
32,minoj-selvarasa,Java JavaScript Python Programming Language PHP HTML Cascading Style Sheets CSS Bootstrap SQL Laravel WordPress Machine Learning Microsoft Office C Deep Learning Firebase Python Team Management TensorFlow Keras Applied Machine Learning Spring Boot Digital Libraries Convolutional Neural Networks CNN Flask CodeIgniter Genetic Algorithms Marketing Strategy Play Framework Hyperparameter Optimization                       ,"BSc (Hons), Computer Science University of Westminster", , ,Data Engineer Yukon Software Sri Lanka,Software Engineer Zeno Innovations (Pvt) Ltd,Software Engineer Intern Zeno Innovations (Pvt) Ltd,Data Science Intern Zone24x7,Data Engineer,1
33,hashani-kumarasinghe-9b9952a1,Java SQL HTML Microsoft Word Machine Learning Scala Microsoft Office Teamwork Project Management Computer Science Microsoft Excel Python Statistics Data Science PowerPoint Statistical Data Analysis Artificial Intelligence AI Mathematics Apache Spark Accounting Management Accounting R statistical software public speakingpresentation skills                             ,Accounting and Business/Management The Chartered Institute of Management Accountants,"Bachelor's degree, Physical Sciences(Mathematics,Computer science,Statistics) University of Sri Jayewardenepura","primary & secondary Education, Mathematics viharamaha devi girl's school kiribathgoda",Senior Data Engineer Axiata Digital Labs,Member of industry consultative board SLIIT,Visiting Lecturer National Institute of Business Management (NIBM - Sri Lanka),Visiting Lecturer SLIIT,Senior Data Engineer,1
34,pavatharanan-thavananthan-5788b354,MySQL SQL Linux HTML Data Analysis Programming Microsoft Office Public Speaking C Microsoft Excel Customer Service Expressjs Python Statistics PowerPoint R Matlab Minitab SPSS Analytical Skills Research Analysis Microsoft Power BI Extract Transform Load ETL Shell Scripting SAS Visual Studio Photoshop Kubernetes Visual Basic NET VBNET Social Media PostgreSQL Automation Visual Basic for Applications VBA Selenium Django REST Framework Amazon QuickSight Okta Single SignOn Kafka Streams R tool Macro Selenium WebDriver CDC       ,"PGDip, Applied Statistics University of Colombo","Bachelor’s Degree, Mathematics and Statistics University of Jaffna"," Katheresan Central College , Nawalapitiya",Senior Data Engineer KALERIS,Software Engineer Ceylon Biscuits Limited,Software Engineering Specialist Wabtec Corporation,Data Operations Engineer  Wabtec Corporation,Senior Data Engineer,1
35,smirithika23,Java JavaScript Python Programming Language MySQL SQL HTML WordPress Microsoft Office C Microsoft Excel Data Mining Data Science Data Analytics R Tableau Analytics Djs Freelancing                                  ,"Bachelor of Science - Information Technology, Data Science SLIIT"," St. Bridget's Convent, Colombo 07", ,Data Engineer BlackSwan Technologies,Developer freelance,Intern Data Analytics Ernst & Young, ,Data Engineer,1
36,tharushi-samara-469829172,Python Programming Language MySQL Databases Programming Microsoft Office Teamwork Leadership C Tableau Management Google Cloud Platform GCP Amazon Web Services AWS Neural Networks Chartered Institute of Management Accountants CIMA                                      ,"bachelor of Computer Science, Computer Science University of Colombo School of Computing"," Sacred Heart Convent,Galle",Charted Institute of Management Accountant- (CIMA) Wisdom Business Academy,Associate Data Engineer Dialog Axiata PLC,Data Analyst   Dialog Axiata PLC, , ,Associate Data Engineer,1
37,hasalfernando,Java JavaScript Python Programming Language MySQL HTML SQL Web Development Video Editing Git Linux Data Engineering Software Development Scala Microsoft Office Adobe Photoshop Teamwork Leadership ObjectOriented Programming OOP MongoDB Angular Deep Learning Python Github Data Science Hadoop Apache Pig Artificial Intelligence AI Google Cloud Platform GCP Apache Spark PyTorch Big Data Extract Transform Load ETL Shell Scripting MapReduce Amazon Web Services AWS HiveQL LaTeX Google Analytics Apache Sqoop Apache Airflow Gradle Scalding Data Science Engineering Typescript Piano Playing VEGAS Pro Apache Hive   ,Bachelor of Engineering (BEng) Honours in Software Engineering with Industrial Placement University of Westminster, Royal College Colombo,Western Music ABRSM,Data Engineer Circles.Life,Co-Founder codeJunction,Author/Paper Presenter IEEE SMARTGENCON 2021,Author/Paper Presenter 5th International Conference on Information and Communication Technology for Intelligent Systems,Data Engineer,1
38,aathilks,Java JavaScript PHP Cascading Style Sheets CSS Bootstrap Nodejs SQL Git Linux HTML WordPress English C Programming Language Teamwork Leadership Public Speaking ObjectOriented Programming OOP Project Management Angular Firebase Unified Modeling Language UML R Android Development jQuery Android NoSQL AJAX User Interface Design Android Studio Swagger API Tamil User Experience UX User Experience Design UED Kotlin Android SDK MySQLi Retrofit Rest APi postman Trello Atlassian Suite           ,"Bachelor of Science in Information Systems,  Information Systems University of Colombo School of Computing","Bachelor's degree, Information Technology University of Colombo School of Computing", ,Data Engineer BlackSwan Technologies,Software Engineer Hytham Labs,Trainee Associate Software Engineer Elegant Media Australia,Junior WordPress Developer Alphabetical IT LLC,Data Engineer,1
39,dimuth-ranasinghe,Data Engineering Software Development Leadership Project Management Management Web Design                                              ,"Bachelor of Applied Science - BASc(Undergraduate), Computer Science and Statistics Wayamba University of Sri Lanka", Mahanama College Colombo,"Bachelor's degree-BSc, Computer Science BIT-External Degree(Undergratuade)",Data Engineer Wavenet,Trainee Software Engineer  Wavenet,Freelance Web Designer Self-employed,Manager Lumbini Aquaria (pvt) Ltd,Data Engineer,1
40,anushiya-thevapalan,Java JavaScript MySQL Cascading Style Sheets CSS Nodejs HTML Machine Learning Teamwork Reactjs Deep Learning Python Team Leadership Natural Language Processing NLP Data Science Computer Vision Artificial Intelligence AI Google Cloud Platform GCP TensorFlow Kubernetes                                 ,"Bachelor's degree, Computer Science and Engineering University of Moratuwa","Diploma in Management, Accounting and Business/Management The Chartered Institute of Management Accountants","G.C.E. Advanced Level , Physical Sciences Methodist College Colombo",Data Engineer Sysco LABS Sri Lanka,Junior Machine Learning Engineer Omdena,Associate Machine Learning Engineer Veracity AI,Teaching Assistant University of Moratuwa,Data Engineer,1
41,chandima-senarath-4b6689bb,Python Programming Language SQL python Microsoft Word Data Analysis Microsoft Office Teamwork Leadership Public Speaking Project Management Microsoft Excel Customer Service Data Science PowerPoint Research Management Apache Spark Strategic Planning C ASPNET Social Media Sales Entity Framework Training                            ,"Bachelor of Science (Hons) in Computer Science , Computer Science University of Kelaniya Sri Lanka",Math Stream D.S.Senanayake College, ,Associate Data Engineer OCTAVE - John Keells Group,IT Executive Mackinnons Travels (Pvt) Ltd.,Internship Bellvantage (Pvt) Ltd, ,Associate Data Engineer,1
42,ishanbhawantha,Java JavaScript MySQL Nodejs Git Machine Learning Scala Problem Solving Teamwork Leadership Public Speaking Project Management Computer Science Reactjs MongoDB Expressjs Python Algorithms ElasticSearch Hadoop Image Processing Management Apache Spark Big Data Database Administration Agile Methodologies Relational Databases Agile Application Development Apache Kafka Hadoop Administration Database Development Discrete Mathematics Software Design DecisionMaking Operations Management ScikitLearn Frontend Development Facebook Cassandra Snowflake Refactoring Apache Flume Kibana Apache Hive Document Management Records Management NestJS Apache Impala ExpressJs Data Governance  ,"Bechelor of Science, Electrical and Information Engineering Faculty of Engineering, University of Ruhuna.","High School, Physical Sciences St. Aloysius National College , Rathnapura, Srilanka", ,Data Engineer Axiata Digital Labs,Data Engineer Wavenet,Web Application Developer Fiverr,Data Engineer Creative Software,Data Engineer,1
43,dhanujak,Java Python Programming Language SQL Linux Data Engineering Big Data Analytics Machine Learning Scala Databases C Programming Language Teamwork ObjectOriented Programming OOP Data Analytics Hadoop Hive R Tableau Analytics Google Cloud Platform GCP Apache Spark PySpark Docker Products Big Data Cloud Computing Distributed Systems Extract Transform Load ETL Data Modeling Database Administration Agile Methodologies Shell Scripting Network Security MapReduce Amazon Web Services AWS Cloudera Relational Databases Apache Spark Streaming Caffe Serverless Computing Agile Application Development Apache Kafka Cloud Administration Hadoop Administration Database Development Cloud Development ETL Tools     ,"Bachelor of Science - BS, Biomedical Engineering University of Moratuwa", , ,Senior Data Engineer Axiata Digital Labs,Data Engineer Axiata Digital Labs,Data Scientist Jendo Innovations Pvt Ltd, ,Senior Data Engineer,1
44,vahkkshshan-sithsabasan-029a73178,Java Python Programming Language Software Development Databases Microsoft Office Teamwork Leadership Research Adaptive Learning                                           ,"Bachelor's degree, Computer Software Engineering University of Westminster", , ,Data Engineer GrubTech,Trainee Associate Software Engineer Zone24x7, , ,Data Engineer,1
